,D,E,F,G,H,I,J,K,L
Desc,The highest color grade. Extremely rare.,Minute traces of color can be detected by an expert gemologist. A rare diamond.,Minute traces of color can be detected by an expert gemologist. A rare diamond,Color difficult to detect unless compared side-by-side against diamonds of better grades.,Color difficult to detect unless compared side-by-side against diamonds of better grades.,An exceptional value diamond with slightly detectable warmth or tone.,An exceptional value diamond with slightly detectable warmth or tone.,Faint yellow  Noticeable Color,Faint yellow  Noticeable Color
Src,www/color_D.png,www/color_E.png,www/color_F.png,www/color_G.png,www/color_H.png,www/color_I.png,www/color_J.png,www/color_K.png,www/color_L.png
